sensor_id,sensor_type,metric,value,unit,timestamp_unix_ms,alert,alert_message
temp-1,1,temperature,24.45,C,1781043881902,False,
temp-1,1,temperature,20.51,C,1781043897170,False,
temp-1,1,temperature,23.56,C,1781043899172,False,
temp-1,1,temperature,29.54,C,1781043903173,False,
temp-1,1,temperature,32.51,C,1781043905174,False,
temp-1,1,temperature,24.72,C,1781043907175,False,
temp-1,1,temperature,28.12,C,1781043909176,False,
temp-1,1,temperature,18.03,C,1781043911176,False,
temp-1,1,temperature,21.81,C,1781043913177,False,
temp-1,1,temperature,29.32,C,1781043915178,False,
temp-1,1,temperature,28.17,C,1781043917178,False,
temp-1,1,temperature,26.09,C,1781043919179,False,
temp-1,1,temperature,22.04,C,1781043921180,False,
temp-1,1,temperature,28.06,C,1781043923181,False,
temp-1,1,temperature,19.06,C,1781043925181,False,
temp-1,1,temperature,21.74,C,1781052584656,False,
temp-1,1,temperature,20.13,C,1781052586657,False,
temp-1,1,temperature,24.78,C,1781052588657,False,
temp-1,1,temperature,25.66,C,1781052590658,False,
temp-1,1,temperature,33.58,C,1781052592658,False,
temp-1,1,temperature,30.87,C,1781052594659,False,
temp-1,1,temperature,30.45,C,1781052596659,False,
temp-1,1,temperature,18.49,C,1781052598660,False,
temp-1,1,temperature,27.95,C,1781052600660,False,
temp-1,1,temperature,24.74,C,1781052619553,False,
temp-1,1,temperature,21.1,C,1781052621554,False,
temp-1,1,temperature,28.55,C,1781052623554,False,
temp-1,1,temperature,24.99,C,1781052625554,False,
temp-1,1,temperature,21.91,C,1781052627555,False,
temp-1,1,temperature,31.63,C,1781052635556,False,
temp-1,1,temperature,29.07,C,1781052637557,False,
temp-1,1,temperature,19.1,C,1781052639558,False,
temp-1,1,temperature,31.67,C,1781052641558,False,
temp-1,1,temperature,33.88,C,1781052643558,False,
temp-1,1,temperature,26.5,C,1781052645559,False,
temp-1,1,temperature,24.41,C,1781052647570,False,
temp-1,1,temperature,20.47,C,1781052649571,False,
temp-1,1,temperature,23.74,C,1781052651571,False,
temp-1,1,temperature,23.09,C,1781052653572,False,
temp-1,1,temperature,30.67,C,1781052655572,False,
temp-1,1,temperature,32.4,C,1781052657572,False,
temp-1,1,temperature,18.16,C,1781052659573,False,
temp-1,1,temperature,25.1,C,1781052661573,False,
